City_ID,City_Name,Budget_Range,Duration_Range
1,Visakhapatnam,10000-20000,3-5 days
2,Vijayawada,5000-10000,2-3 days
3,Guntur,8000-15000,3-4 days
4,Tirupati,8000-15000,3-4 days
5,Itanagar,5000-10000,2-3 days
6,Tawang,12000-20000,4-6 days
7,Ziro,8000-15000,3-4 days
8,Guwahati,10000-20000,3-5 days
9,Kaziranga,12000-25000,4-6 days
10,Shillong,15000-30000,4-6 days
11,Tezpur,5000-8000,2-3 days
12,Patna,8000-15000,3-4 days
13,Bodh Gaya,8000-15000,3-4 days
14,Nalanda,8000-15000,3-4 days
15,Rajgir,12000-20000,4-6 days
16,Raipur,5000-10000,2-3 days
17,Bhilai,5000-10000,2-3 days
18,Durg,5000-10000,2-3 days
19,Bilaspur,8000-15000,3-4 days
20,Panaji,15000-30000,4-6 days
21,Vasco da Gama,10000-20000,3-5 days
22,Old Goa,15000-30000,4-6 days
23,Ahmedabad,12000-25000,4-6 days
24,Vadodara,12000-20000,4-6 days
25,Surat,15000-30000,4-6 days
26,Gandhinagar,5000-10000,2-3 days
27,Gurgaon,15000-30000,4-6 days
28,Faridabad,8000-15000,3-4 days
29,Panipat,8000-15000,3-4 days
30,Shimla,15000-30000,4-6 days
31,Manali,15000-30000,4-6 days
32,Dharamshala,10000-20000,3-5 days
33,Kullu,8000-15000,3-4 days
34,Srinagar,15000-30000,4-6 days
35,Jammu,12000-25000,4-6 days
36,Leh,20000-35000,5-7 days
37,Gulmarg,20000-35000,5-7 days
38,Ranchi,5000-10000,2-3 days
39,Jamshedpur,8000-15000,3-4 days
40,Dhanbad,8000-15000,3-4 days
41,Bengaluru,15000-30000,4-6 days
42,Mysuru,10000-20000,3-5 days
43,Mangalore,10000-20000,3-5 days
44,Hampi,8000-15000,3-4 days
45,Kochi,10000-20000,3-5 days
46,Thiruvananthapuram,10000-20000,3-5 days
47,Kozhikode,8000-15000,3-4 days
48,Munnar,15000-30000,4-6 days
49,Bhopal,10000-20000,3-5 days
50,Indore,10000-20000,3-5 days
51,Gwalior,8000-15000,3-4 days
52,Jabalpur,8000-15000,3-4 days
53,Mumbai,15000-30000,4-6 days
54,Pune,15000-30000,4-6 days
55,Nagpur,10000-20000,3-5 days
56,Aurangabad,10000-20000,3-5 days
57,Imphal,8000-15000,3-4 days
58,Loktak Lake,8000-15000,3-4 days
59,Aizawl,8000-15000,3-4 days
60,Lunglei,8000-15000,3-4 days
61,Kohima,10000-20000,3-5 days
62,Dimapur,8000-15000,3-4 days
63,Bhubaneswar,10000-20000,3-5 days
64,Puri,8000-15000,3-4 days
65,Konark,8000-15000,3-4 days
66,Cuttack,8000-15000,3-4 days
67,Chandigarh,10000-20000,3-5 days
68,Amritsar,10000-20000,3-5 days
69,Ludhiana,8000-15000,3-4 days
70,Patiala,8000-15000,3-4 days
71,Jaipur,15000-30000,4-6 days
72,Jodhpur,12000-25000,4-6 days
73,Udaipur,12000-25000,4-6 days
74,Jaisalmer,15000-30000,4-6 days
75,Gangtok,15000-30000,4-6 days
76,Pelling,12000-25000,4-6 days
77,Lachung,12000-25000,4-6 days
78,Chennai,15000-30000,4-6 days
79,Madurai,10000-20000,3-5 days
80,Coimbatore,10000-20000,3-5 days
81,Ooty,15000-30000,4-6 days
82,Warangal,8000-15000,3-4 days
83,Hyderabad,15000-30000,4-6 days
84,Agartala,8000-15000,3-4 days
85,Udaipur,8000-15000,3-4 days
86,Dehradun,10000-20000,3-5 days
87,Rishikesh,8000-15000,3-4 days
88,Haridwar,8000-15000,3-4 days
89,Mussoorie,15000-30000,4-6 days
90,Lucknow,10000-20000,3-5 days
91,Varanasi,10000- 20000,3-5 days
92,Agra,10000-20000,3-5 days
93,Kanpur,8000-15000,3-4 days
94,Kolkata,15000-30000,4-6 days
95,Darjeeling,15000-30000,4-6 days
96,Siliguri,10000-20000,3-5 days
97,Gangtok,15000-30000,4-6 days
98,Port Blair,15000-30000,4-6 days
99,Chandigarh,10000-20000,3-5 days
100,Daman,8000-15000,3-4 days
101,Kavaratti,8000-15000,3-4 days
102,Leh,20000-35000,5-7 days
103,Puducherry,10000-20000,3-5 days
104,New Delhi,15000-30000,4-6 days
